ncessch,school_name,zip_mailing,city_location,state_location,school_level,enrollment,lowest_grade_offered,highest_grade_offered
340008503317,WANAQUE REGIONAL SCHOOL,07420,Haskell,NJ,7,10.0,7.0,9.0
340008503320,MERCER REGIONAL SCHOOL,08618,Trenton,NJ,4,43.0,4.0,11.0
340008503321,HUDSON REGIONAL SCHOOL,07094,Secacus,NJ,-1,,,
340008700735,Paterson Charter School for Science/Technology,07503,PATERSON,NJ,4,1483.0,0.0,12.0
340008800589,ADULT DIAGNOSTIC AND TREATMENT CENTER,07001,AVENEL,NJ,-1,,,
340008800597,EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN,08809,CLINTON,NJ,-1,,,
340008800598,GARDEN STATE CORRECTIONAL FACILITY,08620,YARDVILLE,NJ,3,70.0,9.0,12.0
340008800600,MOUNTAINVIEW CORRECTIONAL FACILITY,08801,ANNANDALE,NJ,3,42.0,9.0,12.0
340008800601,NEW JERSEY STATE PRISON,08625,TRENTON,NJ,-1,,,
340008800603,NORTHERN STATE PRISON,07114,NEWARK,NJ,3,4.0,11.0,12.0
340008800610,ALBERT C WAGNER CORRECTIONAL FACILITY,08505,BORDENTOWN,NJ,3,15.0,9.0,12.0
340008900630,DOVES RCH,08525,HOPEWELL,NJ,7,4.0,9.0,11.0
340008900634,ESSEX RCH,07107,NEWARK,NJ,7,5.0,9.0,10.0
340008900637,GREEN RCH,07456,RINGWOOD,NJ,7,5.0,9.0,10.0
340008900645,OCEAN RCH,08731,FORKED RIVER,NJ,7,5.0,9.0,11.0
340008900648,PINELANDS RCH,08088,TABERNACLE,NJ,3,21.0,9.0,12.0
340008900653,VOORHEES RCH,08826,GLEN GARDNER,NJ,3,15.0,9.0,12.0
340008900657,JUVENILE FEMALE SECURE UNIT,08505,BORDENTOWN,NJ,7,2.0,10.0,10.0
340008900659,JUVENILE MEDIUM SECURE FACILITY,08505,BORDENTOWN,NJ,3,42.0,9.0,12.0
340008900661,JUVENILE MEDIUM SECURE FACILITY SOUTH,08505,BORDENTOWN,NJ,-1,,,
340008900662,NEW JERSEY TRAINING SCHOOL,08831,JAMESBURG,NJ,3,42.0,9.0,12.0
340008902973,COSTELLO PREP,08088,TABERNACLE,NJ,3,12.0,9.0,12.0
340008903134,YOUTHBUILD CAMDEN,08625,TRENTON,NJ,-1,,,
340008903269,Vineland Preparatory Academy,08361,VINELAND,NJ,7,7.0,9.0,11.0
340008903319,WARREN RCH,07863,OXFORD,NJ,-1,,,
340008903322,SOUTHERN RCH,08215,EGG HARBOR CITY,NJ,7,5.0,9.0,10.0
340009000829,Central Jersey College Prep Charter School,08873,Somerset,NJ,4,1020.0,0.0,12.0
340066000004,Emma C Attales,08201,ABSECON,NJ,2,380.0,5.0,8.0
340066000006,H Ashton Marsh,08201,ABSECON,NJ,1,527.0,-1.0,4.0
340069002954,Alexandria Middle School,08867,Pittstown,NJ,2,275.0,4.0,8.0
340069002956,Lester D. Wilson Elementary School,08867,Pittstown,NJ,1,203.0,-1.0,3.0
340071502923,Bergen Arts and Sciences Charter School,07026,GARFIELD,NJ,4,1169.0,0.0,12.0
340071702925,Foundation Academy Charter School,08608,Trenton,NJ,4,1086.0,0.0,12.0
340071803014,Community Charter School of Paterson,07501,PATERSON,NJ,1,907.0,0.0,8.0
340071903017,Pride Academy Charter School,07018,EAST ORANGE,NJ,2,286.0,5.0,8.0
340072003066,Mountain Villa School,07820,Allamuchy,NJ,1,143.0,-1.0,2.0
340072005788,Allamuchy Township School,07820,ALLAMUCHY,NJ,2,283.0,3.0,8.0
340072303015,Paul Robeson Charter School for the Humanities,08638,TRENTON,NJ,2,381.0,4.0,8.0
340072403011,Burch Charter School of Excellence,07111,IRVINGTON,NJ,1,354.0,0.0,5.0
340072703029,The Ethical Community Charter School,07306,JERSEY CITY,NJ,1,397.0,0.0,8.0
340072903027,Vineland Public Charter School,08332,VINELAND,NJ,4,337.0,-1.0,11.0
340073003028,Newark Educators Community Charter School,07102,NEWARK,NJ,1,265.0,-1.0,4.0
340073103022,Riverbank Charter School of Excellence,08554,Roebling,NJ,1,153.0,0.0,3.0
340073403037,Hoboken Dual Language Charter School,07030,HOBOKEN,NJ,1,408.0,0.0,8.0
340073503055,Hatikvah International Academy Charter School,08816,East Brunswick,NJ,1,518.0,0.0,8.0
340074003047,The Barack Obama Green Charter High School,07060,Plainfield,NJ,3,231.0,9.0,12.0
340074103050,Academy for Urban Leadership Charter School,08861,Perth Amboy,NJ,3,549.0,7.0,12.0
340074403139,Benjamin Banneker Preparatory Charter School,08060,Willingboro,NJ,1,360.0,0.0,8.0
340074503137,Passaic Arts and Science Charter School,07407,Passaic,NJ,4,1559.0,0.0,12.0
340074603143,Thomas Edison EnergySmart Charter School,08873,Somerset,NJ,4,556.0,0.0,11.0
340074803144,John P. Holland Charter School,07501,Paterson,NJ,1,482.0,-1.0,8.0
340074903184,Millville Public Charter School,08332,Millville,NJ,4,247.0,0.0,10.0
340075000224,Brookside School,07401,Allendale,NJ,2,513.0,4.0,8.0
340075000226,Hillside Elementary School,07401,Allendale,NJ,1,349.0,-1.0,3.0
340075103180,Great Oaks Legacy Charter School,07102,Newark,NJ,4,1665.0,-1.0,12.0
340075203186,The Kingdom Charter School of Leadership,08012,Blackwood,NJ,-1,,,
340075303183,M.E.T.S. Charter School,07102,JERSEY CITY,NJ,3,713.0,6.0,12.0
340075403181,Peoples Preparatory Charter School,07103,Newark,NJ,3,405.0,9.0,12.0
340075503187,Roseville Community Charter School,07107,NEWARK,NJ,1,267.0,0.0,4.0
340075603185,Dr Lena Edwards Academic Charter School,07304,Jersey City,NJ,1,393.0,0.0,8.0
340075903196,BelovED Community Charter School,07302,Jersey City,NJ,4,1198.0,0.0,9.0
340076303247,Hope Community Charter School,08103,Camden,NJ,1,125.0,0.0,5.0
340076403256,Philips Academy Charter School,07103,Newark,NJ,1,515.0,-1.0,8.0
340076503254,Paterson Arts and Science Charter School,07410,Paterson,NJ,4,845.0,0.0,11.0
340076603265,Compass Academy Charter School,08360,Vineland,NJ,1,185.0,0.0,5.0
340076703251,Jersey City Global Charter School,07307,Jersey City,NJ,1,484.0,0.0,8.0
340076903010,Lambertville Public School,08530,Lambertville,NJ,1,228.0,-1.0,6.0
340076903036,South Hunterdon Regional High School,08530,Lambertville,NJ,3,464.0,7.0,12.0
340076903048,West Amwell Township School,08530,Lambertville,NJ,1,242.0,0.0,6.0
340077003291,Trenton Stem-to-Civics Charter School,08618,Ewing,NJ,3,598.0,6.0,12.0
340077103287,Atlantic Community Charter School,08205,Galloway,NJ,1,371.0,0.0,8.0
340077203313,Mastery Schools of Camden Inc.,08105,Camden,NJ,4,2632.0,0.0,12.0
340077303275,Link Community Charter School,07114,Newark,NJ,2,306.0,5.0,8.0
340077603299,Camden Prep Inc.,08104,Camden,NJ,1,891.0,0.0,8.0
340077703307,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,07102,Camden,NJ,1,1513.0,0.0,8.0
340077803329,Marie H Katzenbach High School,08625,Trenton,NJ,3,50.0,9.0,12.0
340077803377,Marie H Katzenbach Elementary/ Middle School for the Deaf,08625,Trenton,NJ,1,25.0,-1.0,8.0
340077903353,College Achieve Central Charter School,07062,Plainfield,NJ,4,1197.0,0.0,12.0
340078103335,Empowerment Academy Charter School,07304,Jersey City,NJ,1,718.0,0.0,5.0
340078203371,Bridgeton Public Charter School,08332,Bridgeton,NJ,1,102.0,0.0,4.0
340078303345,Principle Academy Charter School,08234,Egg Harbor Township,NJ,1,475.0,0.0,6.0
340078403383,Philips Academy Charter School of Paterson,07103,Paterson,NJ,1,233.0,0.0,3.0
340078503390,Camdens Promise Charter School,08105,Camden,NJ,4,2262.0,-1.0,12.0
340078603385,Cresthaven Academy Charter School,07060,Plainfield,NJ,1,310.0,0.0,3.0
340078703387,Hudson Arts and Science Charter School,07410,Kearny,NJ,1,814.0,0.0,8.0
340078803423,LEAD Charter School,07107,Newark,NJ,3,263.0,9.0,12.0
340078903411,Ocean Academy Charter School,08755,Lakewood,NJ,1,248.0,0.0,4.0
340079103403,College Achieve Greater Asbury Park Charter School,07753,Neptune,NJ,1,304.0,0.0,8.0
340079203419,Achieve Community Charter School,07108,Newark,NJ,1,315.0,0.0,6.0
340079303413,College Achieve Paterson Charter School,07724,Paterson,NJ,1,755.0,0.0,8.0
340079403457,Achievers Early College Prep Charter School,08611,Trenton,NJ,2,172.0,6.0,7.0
340079503451,Middlesex County STEM Charter School,08861,Perth Amboy,NJ,1,184.0,0.0,3.0
340079600669,BERGEN CO JDC,07652,PARAMUS,NJ,3,,9.0,12.0
340079700675,ESSEX CO JDC,08302,NEWARK,NJ,3,,8.0,12.0
340079800686,OCEAN CO JDC,08754,TOMS RIVER,NJ,3,,9.0,12.0
340079900681,MIDDLESEX CO JDC,08902,NEW BRUNSWICK,NJ,3,,9.0,12.0
340080000671,BURLINGTON CO JDC,08060,MT   HOLLY,NJ,7,,9.0,11.0
340080200672,CAMDEN CO JDC,08012,BLACKWOODLEX,NJ,3,,7.0,12.0
340080300667,ATLANTIC CO JDC,08215,EGG HARBOR CITY,NJ,7,,9.0,11.0
340080400685,MORRIS CO JDC,07963,MORRISTOWN,NJ,7,,10.0,10.0
340080503481,Creativity CoLaboratory Charter School,08318,Elmer,NJ,2,95.0,5.0,8.0
340081005028,Alloway Township School,08001,ALLOWAY,NJ,1,325.0,-1.0,8.0
340084005790,Alpha Borough School,08865,ALPHA,NJ,1,207.0,-1.0,8.0
340087000228,Alpine Elementary School,07620,ALPINE,NJ,1,153.0,0.0,8.0
340090005324,Florence M. Burd,07860,NEWTON,NJ,1,244.0,-1.0,4.0
340090005326,Long Pond School,07860,NEWTON,NJ,2,207.0,5.0,8.0
340093000157,Thurgood Marshall Elementary School,07712,ASBURY PARK,NJ,1,335.0,-1.0,5.0
340093003301,Barack Obama Elementary School,07712,ASBURY PARK,NJ,1,267.0,-1.0,5.0
340093003732,Asbury Park High School,07712,ASBURY PARK,NJ,3,461.0,9.0,12.0
340093003740,Bradley Elementary School,07712,ASBURY PARK,NJ,1,365.0,-1.0,5.0
340093003742,Dr. Martin Luther King Middle School,07712,ASBURY PARK,NJ,2,322.0,6.0,8.0
340096000010,Atlantic City High School,08401,Atlantic City,NJ,3,1717.0,9.0,12.0
340096000012,Sovereign Avenue School,08401,Atlantic City,NJ,1,741.0,-1.0,8.0
340096000016,Chelsea Heights School,08401,Atlantic City,NJ,1,383.0,-1.0,8.0
340096000018,Texas Avenue School,08401,Atlantic City,NJ,1,533.0,0.0,8.0
340096000020,New York Avenue School,08401,Atlantic City,NJ,1,569.0,-1.0,8.0
340096000022,Uptown School Complex,08401,Atlantic City,NJ,1,575.0,-1.0,8.0
340096000026,Pennsylvania Ave School,08401,Atlantic City,NJ,1,573.0,-1.0,8.0
340096000028,Richmond Avenue School,08401,Atlantic City,NJ,1,679.0,-1.0,8.0
340096000030,Venice Park School,08401,Atlantic City,NJ,0,58.0,-1.0,-1.0
340096000032,Dr Martin Luther King Jr School Complex,08401,Atlantic City,NJ,1,597.0,-1.0,8.0
340096003259,Brighton Avenue School,08401,Atlantic City,NJ,1,354.0,-1.0,5.0
340099000034,Atlantic County Institute of Technology,08330,MAYS LANDING,NJ,3,1667.0,9.0,12.0
340099003175,Atlantic County Alternative High School,08330,Mays Landing,NJ,3,47.0,9.0,12.0
340102003746,Atlantic Highlands Elementary School,07716,ATLANTIC HIGHLANDS,NJ,1,301.0,-1.0,6.0
340105001298,Audubon Junior/Senior High School,08106,AUDUBON,NJ,3,807.0,7.0,12.0
340105001300,Haviland Avenue School,08106,AUDUBON,NJ,1,278.0,-1.0,2.0
340105001302,Mansion Avenue School,08106,AUDUBON,NJ,1,387.0,3.0,6.0
340111001702,Avalon Elementary School,08202,AVALON,NJ,2,86.0,5.0,8.0
340114003748,Avon Elementary School,07717,AVON,NJ,1,125.0,-1.0,8.0
340117001308,Avon Elementary School,08033,HADDONFIELD,NJ,1,335.0,-1.0,4.0
340117001312,Woodland Middle School,08007,BARRINGTON,NJ,2,262.0,5.0,8.0
340120000950,BASS RIVER TOWNSHIP ELEMENTARY SCHOOL,08224,NEW GRETNA,NJ,1,93.0,-1.0,6.0
340123004568,Bay Head Elementary,08742,BAY HEAD,NJ,1,122.0,0.0,8.0
340126000001,William Shemin Midtown Community School #8,07002,BAYONNE,NJ,1,1258.0,-1.0,8.0
340126000141,Nicholas Oresko Community School,07002,BAYONNE,NJ,1,452.0,-1.0,8.0
340126002704,Bayonne High School,07002,BAYONNE,NJ,3,2478.0,9.0,12.0
340126002710,Walter F. Robinson Community School,07002,BAYONNE,NJ,1,801.0,-1.0,8.0
340126002712,John M. Bailey Community School,07002,BAYONNE,NJ,1,685.0,-1.0,8.0
340126002714,Henry E. Harris Community School,07002,BAYONNE,NJ,1,697.0,-1.0,8.0
340126002716,Horace Mann Community School,07002,BAYONNE,NJ,1,609.0,-1.0,8.0
340126002718,Lincoln Community School #5,07002,BAYONNE,NJ,1,463.0,-1.0,8.0
340126002720,Mary J Donohoe Community School,07002,BAYONNE,NJ,1,481.0,-1.0,8.0
340126002722,Philip G. Vroom Community School,07002,BAYONNE,NJ,1,463.0,-1.0,8.0
340126002728,Washington Community School #9,07002,BAYONNE,NJ,1,685.0,-1.0,8.0
340126002730,Woodrow Wilson Community School,07002,BAYONNE,NJ,1,761.0,-1.0,8.0
340126003447,Bayonne Alternative High School,07002,Bayonne,NJ,3,99.0,9.0,12.0
340129004570,Beach Haven School,08008,Beach Haven,NJ,1,58.0,-1.0,6.0
340132005120,Bedminster Township Public School,07921,Bedminster,NJ,1,519.0,-1.0,8.0
340135001954,Belleville High School,07109,BELLEVILLE,NJ,3,1377.0,9.0,12.0
340135001956,Belleville Middle School,07109,BELLEVILLE,NJ,2,698.0,7.0,8.0
340135001962,Belleville PS3,07109,BELLEVILLE,NJ,1,356.0,-1.0,6.0
340135001964,Belleville PS4,07109,BELLEVILLE,NJ,1,443.0,-1.0,6.0
340135001966,Belleville PS5,07109,BELLEVILLE,NJ,1,399.0,0.0,6.0
340135001968,Belleville PS7,07109,BELLEVILLE,NJ,1,444.0,-1.0,6.0
340135001970,Belleville PS8,07109,BELLEVILLE,NJ,1,493.0,0.0,6.0
340135001972,Belleville PS9,07109,BELLEVILLE,NJ,1,133.0,0.0,6.0
340135001974,Belleville PS10,07109,BELLEVILLE,NJ,1,152.0,0.0,6.0
340138001316,Bell Oaks Upper Elementary School,08031,BELLMAWR,NJ,2,484.0,5.0,8.0
340138001318,Bellmawr Park Elementary School,08031,BELLMAWR,NJ,1,476.0,-1.0,4.0
340138001320,Ethel M Burke Elementary School,08031,BELLMAWR,NJ,1,248.0,0.0,4.0
340141003750,Belmar Elementary,07719,BELMAR,NJ,1,486.0,-1.0,8.0
340144005794,Belvidere High School,07823,BELVIDERE,NJ,3,377.0,9.0,12.0
340144005796,Oxford Street Elementary School,07823,BELVIDERE,NJ,1,272.0,-1.0,8.0
340144005798,Third Street School,07823,BELVIDERE,NJ,-1,,,
340145000073,Autistic,07652,Paramus,NJ,4,201.0,-1.0,12.0
340145000234,Hearing Impaired,07652,Paramus,NJ,4,136.0,-1.0,12.0
340145000238,Emotionally Disturbed,07652,Paramus,NJ,4,130.0,-1.0,12.0
340145000240,Life Skills,07652,Paramus,NJ,4,61.0,-1.0,12.0
340145005978,N. A. Bleshman Regional Day School,07652,PARAMUS,NJ,4,82.0,-1.0,12.0
340145006020,Multiply Handicapped,07652,Paramus,NJ,4,55.0,-1.0,12.0
340147000250,Bergen County Academies,07601,Hackensack,NJ,3,1086.0,9.0,12.0
340147000252,Bergen County Technical High School - Paramus,07652,Paramus,NJ,3,312.0,9.0,12.0
340147000262,Bergen County Technical High School - Teterboro,07608,Teterboro,NJ,3,668.0,9.0,12.0
340147000264,Bergen County Technical High School - Paramus,07652,Paramus,NJ,3,25.0,9.0,12.0
340147003341,Applied Technology High School,07652,Paramus,NJ,3,182.0,9.0,12.0
340150000268,Bergenfield High School,07621,BERGENFIELD,NJ,3,1181.0,9.0,12.0
340150000270,Franklin Elementary School,07621,BERGENFIELD,NJ,1,360.0,-1.0,5.0
340150000272,Hoover Elementary School,07621,BERGENFIELD,NJ,1,247.0,-1.0,5.0
340150000274,Jefferson Elementary School,07621,BERGENFIELD,NJ,1,279.0,0.0,5.0
340150000276,Lincoln Elementary School,07621,BERGENFIELD,NJ,1,410.0,-1.0,5.0
340150000278,Roy W. Brown Middle School,07621,BERGENFIELD,NJ,2,852.0,6.0,8.0
340150000280,Washington Elementary School,07621,BERGENFIELD,NJ,1,298.0,0.0,5.0
340153000201,Governor Livingston High School,07922,BERKELEY HEIGHTS,NJ,3,938.0,9.0,12.0
340153000203,Mary Kay McMillin Early Childhood Center,07922,BERKELEY HEIGHTS,NJ,1,334.0,-1.0,1.0
340153005434,Thomas P. Hughes School,07922,BERKELEY HTS,NJ,1,282.0,2.0,5.0
340153005436,Columbia Middle School,07922,BERKELEY HTS,NJ,2,583.0,6.0,8.0
340153005440,Mountain Park School,07922,BERKELEY HTS,NJ,1,232.0,2.0,5.0
340153005442,William Woodruff School,07922,BERKELEY HTS,NJ,1,183.0,2.0,5.0
340156004574,Bayville Elementary School,08721,BAYVILLE,NJ,1,516.0,-1.0,4.0
340156004576,Clara B. Worth Elementary School,08721,BAYVILLE,NJ,1,674.0,-1.0,4.0
340156004578,H & M Potter School,08721,BAYVILLE,NJ,1,664.0,-1.0,4.0
340156006125,Berkeley Township Elementary School,08721,BAYVILLE,NJ,2,619.0,4.0,6.0
340159001324,Berlin Community School,08009,BERLIN,NJ,1,810.0,-1.0,8.0
340162001328,Dwight D Eisenhower Middle School,08091,West Berlin,NJ,2,332.0,4.0,8.0
340162001332,John F Kennedy Elementary School,08091,West Berlin,NJ,1,318.0,-1.0,3.0
340165000355,Mount Prospect Elementary School,07920,Basking Ridge,NJ,1,539.0,-1.0,5.0
340165005124,Ridge High School,07920,Basking Ridge,NJ,3,1824.0,9.0,12.0
340165005126,William Annin Middle School,07920,Basking Ridge,NJ,2,1282.0,6.0,8.0
340165005128,Oak Street School,07920,Basking Ridge,NJ,1,420.0,0.0,5.0
340165005132,Liberty Corner School,07938,Liberty Corner,NJ,1,515.0,0.0,5.0
340165006021,Cedar Hill School,07920,Basking Ridge,NJ,1,556.0,0.0,5.0
340171002958,Ethel Hoppock Middle School,08802,ASBURY,NJ,2,117.0,6.0,8.0
340171005895,Thomas B. Conley Elementary School,08802,ASBURY,NJ,1,228.0,-1.0,5.0
340174000952,Beverly City School District,08010,BEVERLY,NJ,1,312.0,-1.0,8.0
340177000425,Timber Creek Regional High School,08081,ERIAL,NJ,3,1203.0,9.0,12.0
340177001336,Highland Regional High School,08012,BLACKWOOD,NJ,3,1204.0,9.0,12.0
340177001338,Triton Regional High School,08078,RUNNEMEDE,NJ,3,1154.0,9.0,12.0
340180005800,Blairstown Elementary School,07825,BLAIRSTOWN,NJ,1,463.0,-1.0,6.0
340183000133,The Early Childhood Center @ Forest Glen,07003,Bloomfield,NJ,0,208.0,-1.0,-1.0
340183001980,Bloomfield High School,07003,Bloomfield,NJ,3,1947.0,9.0,12.0
340183001982,Bloomfield Middle School,07003,Bloomfield,NJ,2,1066.0,7.0,8.0
340183001986,Berkeley Elementary School,07003,Bloomfield,NJ,1,467.0,0.0,6.0
340183001988,Brookdale Elementary School,07003,Bloomfield,NJ,1,359.0,0.0,6.0
340183001992,Carteret Elementary School,07003,Bloomfield,NJ,1,401.0,0.0,6.0
340183001994,Demarest Elementary School,07003,Bloomfield,NJ,1,504.0,0.0,6.0
340183001996,Fairview Elementary School,07003,Bloomfield,NJ,1,531.0,-1.0,6.0
340183002000,Franklin Elementary School,07003,Bloomfield,NJ,1,374.0,0.0,6.0
340183002002,Oak View Elementary School,07003,Bloomfield,NJ,1,362.0,-1.0,6.0
340183002004,Watsessing Elementary School,07003,Bloomfield,NJ,1,286.0,0.0,6.0
340186004754,Martha B. Day Elementary School,07403,BLOOMINGDALE,NJ,1,142.0,-1.0,1.0
340186004756,Samuel R. Donald Elementary School,07403,BLOOMINGDALE,NJ,1,173.0,2.0,4.0
340186004758,Walter T. Bergen Middle School,07403,BLOOMINGDALE,NJ,2,241.0,5.0,8.0
340189002960,Bloomsbury Borough School,08804,Bloomsbury,NJ,1,91.0,-1.0,8.0
340192000284,Bogota Jr./Sr. High School,07603,BOGOTA,NJ,3,509.0,7.0,12.0
